Case Number,Problem Category,Geolocation (Latitude),Geolocation (Longitude),Opened Date,Subject,Status,Public Description,SAP URL,Closed Date,Age (Days)
97742,Street Light,32.94846984,-117.078542,8/5/16,Street Light Light Out at 11830 Springside Rd,Assigned,The light is out.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032VuoAAE,,26
97743,Traffic Signal,32.7484173,-117.1462353,8/5/16,Traffic Signal Light Out at Park blvd and university Ave,Acknowledged,The walk signal is not coming on for crossing between the southwest corner and northwest corner of Park Blvd at University. Watched the cycle for several minutes. Never got the walk signal. Unsafe.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032W6LAAU,,25
97744,Graffiti,32.92059471,-117.1211706,8/5/16,Graffiti  at 32.92N 117.12W,Closed,"Grafitti on utility box on Galvin Ave in Mira Mesa near Hage Elementary, just west of the driveway.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032W8mAAE,8/12/16,7
97746,Graffiti,32.74852849,-117.1260196,8/5/16,Graffiti  at 3160?3166 University Ave,Closed,Tags on red/brown door on NE corner of CVS NEAR University/Herman. Previously reported weeks ago,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032WSMAA2,8/27/16,22
97748,Traffic Signal,32.80111877,-117.235302,8/5/16,Traffic Signal Signal Facing Wrong Direction at 4485?4499 Lamont St,Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032WorAAE,8/12/16,7
97750,Street Sweeping,32.88381203,-117.1165847,8/5/16,"Debris in Street at KEARNY VILLA RD & MIRAMAR WAY,, 92126",Closed,LOTS OF GRAVEL IN THE STREET CAUSING HAZARD,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032WtDAAU,8/27/16,22
97754,Pothole,32.7239406,-117.0670046,8/5/16,Pothole  at 1740 Weaver St,Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032WvZAAU,8/10/16,5
97755,Sidewalk,32.5712004,-117.0940615,8/5/16,"Sidewalk  at 1840 Hermes Street, San Diego, CA 92154, United States",Assigned,"The hedge on both sides of the driveway is encroaching on the sidewalk, forcing people to walk single-file past it.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032WwbAAE,,25
97756,Traffic Signal,32.76851599,-117.0470849,8/5/16,Traffic Signal Light Out at 4960?4968 70th St& El Cajon Bl,Assigned,Red light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032WxaAAE,,25
97758,Sidewalk,32.702291,-117.1497,8/5/16,"Sidewalk  at 1675 Newton Avenue San Diego, CA 92113",Assigned,Raised sidewalk trip hazard.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032X20AAE,,25
97761,Sidewalk,32.901984,-117.181886,8/5/16,"Sidewalk  at 9909-9965 Huennekens Street San Diego, CA 92121",Closed,Trip hazard.  Raised and broken sidewalk.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XGbAAM,8/16/16,11
97762,Sidewalk,32.8000878,-117.0895974,8/5/16,"Sidewalk  at 4748 Old Cliffs Rd, San Diego, CA, United States",Closed - Referred,"Utility cover is broken and has the hole completely exposed, one of my employees fell into the hole and has a bruised shin.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XJBAA2,,25
97763,Traffic Signal,32.9029758,-117.1153008,8/5/16,"Traffic Signal Flashing Red at 9805 Carroll Canyon Road, San Diego, CA 92131, United States",Closed - Referred,"The light at this intersection (15 N and Carroll Canyon Rd) was blinking red last night, causing quite a back-up, and it's still blinking red.  I just want to make sure someone is aware of it.  Thank you,  PS:  I think it's wrong to require an actual address in section 1.  That only discourages people from reporting.  I originally just entered ""intersection of 15N and Carroll Canyon,"" but it wouldn't go to the next page.  I had to get on my phone and look up the address of the Carl's Jr at that corner in order to report this.  That's not good.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XJVAA2,,25
97766,Pothole,32.82137153,-117.1829606,8/5/16,"Pothole at 4273 GENESEE AV, 92117",Assigned,DAMAGED ASPHALT,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XNwAAM,,25
97767,Sidewalk,32.700804,-117.143354,8/5/16,Sidewalk  at 1879 LOGAN AV,Acknowledged,Raised sidewalk trip hazard,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XOaAAM,,25
97768,Sidewalk,32.75889351,-117.0661426,8/5/16,Sidewalk  at 6100?6118 Estelle St,Closed,Palm trees growing next to pole taking over sidewalk and street,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XOfAAM,8/11/16,6
97769,Sidewalk,32.700792,-117.143097,8/5/16,"Sidewalk  at 1982 Logan Avenue San Diego, CA 92113",Assigned,Trip hazard,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XOzAAM,,25
97770,Sidewalk,32.700747,-117.143089,8/5/16,Sidewalk  at N32.70 E117.14,Assigned,Trip hazard,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XPOAA2,,25
97774,Tree Hazard,32.73870543,-117.1677402,8/5/16,"Tree Hazard  at 500-598 W Spruce St, San Diego, CA 92103, USA",Closed - Referred,There is a large cut log that is straddling either the electrical/cable/telephone lines.  There is a risk of this falling on someone on the street and hurting someone seriously.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XYfAAM,,25
97776,Street Light,32.857973,-117.209675,8/5/16,"Street Light Light Out at 6910 Dennison Street, San Diego, CA, United States",Assigned,The street light on the corner of Dennison St and Radcliffe St is out. P95120J.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XenAAE,,25
97777,Street Light,32.7446715,-117.2329892,8/5/16,"Street Light Light Out at 2312 Famosa Boulevard, San Diego, CA, United States",Assigned,security light reported out in Bill Cleator Park near cul de sac at 2449 Soto,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XfRAAU,,25
97781,Pothole,32.70004173,-117.0850642,8/5/16,"Pothole at S EUCLID AV & TRINIDAD WAY,, 92113",Closed,Per constituent two pot holes.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XvPAAU,8/10/16,5
97782,Tree Hazard,32.811215,-117.185815,8/5/16,"Tree Hazard  at 3855 Mount Everest Boulevard, San Diego, CA, United States",Acknowledged,The tree between the street and the sidewalk feel  the first part of the year it also cracked the sidewalk the city crew came out and cut the tree but left a big hole and the roots sticking out city crew left two orange cones and said they be back to grind up the stump/roots As this is a hazard . the neighbors are now complaining. I've called multiple times and was told somebody would be out to take care of this but it was been over 6 months now please help me Don 858-442-3254,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032XwSAAU,,25
97783,Graffiti,32.71208448,-117.0423324,8/5/16,"Graffiti Removal at 7270 LISBON ST, 92114",Closed,"Graffiti removal from restroom, middle of the street, & light post",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032Y5ZAAU,8/12/16,7
97786,Street Sweeping,32.88104235,-117.2438936,8/5/16,"Debris in Street at NORTH TORREY PINES RD & MUIR COLLEGE DR,, 92037",Closed,LG ROCK IN MIDDLE OF RD ON N TORREY PINES RD BY MUIR COLLEGE DR,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032YHaAAM,8/27/16,22
97788,Traffic Signal,32.74581647,-117.0794847,8/5/16,Traffic Signal Light Out at 54th & lea,Assigned,RED LIGHT IS OUT ON LEFT TURN TRAFFIC LIGHT; HEADING NORTH ON 54TH AT LEA.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032YLmAAM,,25
97789,Sidewalk,32.7025866,-117.0793793,8/5/16,"Sidewalk  at 5424 Trinidad Way, San Diego, CA, United States",Closed,"Tree near road has buckled the length of sidewalk making it a hazard, especially at night when walking by.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032YN4AAM,8/23/16,18
97794,Pothole,32.74232249,-117.2542032,8/5/16,Pothole  at 4974 Coronado Ave,Assigned,"Approx 200 foot parallel cracks running east/west down CORONADO AvenueI presume remnants from prior utility digging for repair or replace. Cement has since sunken & cracked long enough for weeds & grass to grow!! It's time to return & repair CORONADO Avenue toIt's former pristine roadway it was before utility companies tore it up",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032YRkAAM,,25
97795,Curb,32.74209496,-117.2537067,8/5/16,Curb Damage at 4942 Coronado Ave,Assigned,Broken missing curb,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032YUPAA2,,25
97796,Curb,32.74209668,-117.2536769,8/5/16,Curb Damage at 4942 Coronado Ave,Duplicate,Broken missing curb,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032YV3AAM,,25
97798,Graffiti,32.71208964,-117.0415294,8/5/16,"Graffiti Removal at 644 PONS ST, 92114",Closed,"Graffiti needs to removed on light post, sidewalk and bathroom wall and center divide.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032YWLAA2,8/12/16,7
97800,Pothole,32.81173512,-117.2009844,8/5/16,"Pothole at 3835 CLAIREMONT DR, 92117",Closed,large pothole northbound clairemont dr,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032YaXAAU,8/12/16,7
97802,Curb,32.74178118,-117.2533088,8/5/16,Curb Damage at 32.742N 117.253W,Duplicate,Missing curb,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032Ye0AAE,,25
97803,Pothole,32.88103857,-117.2431623,8/5/16,"Pothole at N TORREY PINES MUIR COLLEGE DR, 92037",Closed,Large hazardous pot hole,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032YeFAAU,8/23/16,18
97810,Traffic Signal,32.7633237,-117.1141147,8/5/16,Traffic Signal Light Out at Adams Avenue and Cherokee,Assigned,"LIGHT IS NOT OUTHowever, the signal phase is too short.  South- or north-bound on Cherokee, only one or two cars get through before light changes even though 5 or 6 cars are in line.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032YqpAAE,,25
97813,Sidewalk,32.71289159,-117.1645215,8/5/16,"Sidewalk  at 777 Front St, San Diego, CA 92101, USA",Assigned,damaged/raised utility cover,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032Yy5AAE,,25
97814,Traffic Sign,32.7091068,-117.1300015,8/5/16,"Traffic Sign  at 329 30th St, San Diego, CA, United States",Acknowledged,Cars drive too fast on this street and would like to see if there is a way there could be speed bumps put on this street or a stop sign.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032YyjAAE,,25
97816,Pothole,32.75985638,-117.0682195,8/5/16,"Pothole  at 4539-4569 60th St, San Diego, CA 92115, USA",Closed,There is a pretty deep pothole in the middle of the street here. Sewer work was done about a year ago along 60th St. and the potholes nd streets were not repaired after the work was done. There is also a smaller one that  you can really  feel as you drive over it at the beginning of  College way. 60th Street really needs repaving.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032Z4rAAE,8/19/16,13
97817,Graffiti,32.7486178,-117.1409112,8/5/16,"Graffiti  at 2200 University Avenue, San Diego, CA, 92104, United States",Assigned,2200 University Avenue HLB tag and double-lined white tag on south side of Bodi Veterinary Clinic.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032Z5VAAU,,25
97818,Pothole,32.75509072,-117.1424659,8/5/16,Pothole  at 4231 Alabama St,Closed,"Big pothole in northbound lane on Alabama, just south of El Cajon Blvd.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032Z7lAAE,8/23/16,17
97819,Graffiti,32.7484331,-117.1462352,8/5/16,"Graffiti  at 1800 University Avenue, San Diego, CA, 92104, United States",Acknowledged,"1800 block of University Avenue south side ""HLB"" tag on street retaining wall.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032Z81AAE,,25
97820,Graffiti,32.576633,-117.094365,8/5/16,"Graffiti  at 1832 Coronado Avenue San Diego, CA 92154",Acknowledged,Graffiti on the wall adjacent to Pizza Hut parking lot,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032Z9hAAE,,25
97821,Traffic Signal,32.71655903,-117.1650456,8/5/16,Traffic Signal Light Out at 220 W Broadway,Assigned,Bumped head  head out four westbound southside,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZB4AAM,,25
97822,Graffiti,32.74996732,-117.1346524,8/5/16,"Graffiti  at 3947 Oregon St, San Diego, CA 92104, USA",Closed,"3947 Oregon Street ""SNINEY"" tag on back of apartment building in alley",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZBnAAM,8/12/16,6
97823,Traffic Sign,32.7113021,-117.1341139,8/5/16,"Traffic Sign  at 540 28th Street, San Diego, CA, United States",Closed,The 30-Minute-Parking sign has been struck and is leaning across the sidewalk at 540 28th St.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZC2AAM,8/10/16,4
97824,Graffiti,32.748647,-117.1333372,8/5/16,"Graffiti  at 2820 University Avenue, San Diego, CA, 92104, United States",Closed,"2820 University Avenue HLB red tag on window ""HLB"" red tag on window",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZEhAAM,8/12/16,6
97825,Pothole,32.8018907,-117.2492793,8/5/16,"Pothole  at 1203 Missouri St, San Diego, CA 92109, USA",Closed,At the end of our residential street is a pothole about 3 feet by 3 feet wide.  THis is at Missouri and everts -- near the sewer manhole cover.   This has been there for a VERY long time and certainly rattles many a car shock system.   I will include 2 photos with this email note.   I believe that it would be quite simple to come by with the truck and put that black asphalt repair into the hole.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZK1AAM,8/17/16,11
97828,Traffic Sign,32.7314706,-117.1025729,8/5/16,"Traffic Sign  at Sumac Drive, San Diego, CA, United States",Assigned,"Corner of Laurel and Sumac Dr. the stop sign is obstructed from view by a overgrown tree. Also, the markings on the ground have completely faded away.  People are not stopping.  Many children in the area. You just can't see anything.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZSAAA2,,25
97829,Traffic Signal,32.70118078,-117.1219909,8/5/16,Traffic Signal Light Out at 3363?3369 Ocean View Blvd,Closed - Referred,Arrow pointing west at the exit of 15 South at Ocean View is almost out. It is extremely dim and very hard to see. Traffic turning West (right) onto Ocean View Blvd gets backed up in the mornings because drivers don't see the arrow.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZdrAAE,,25
97832,Traffic Sign,32.7551594,-117.1991591,8/5/16,"Traffic Sign  at 2801-2875 Congress St, San Diego, CA 92110, USA",Closed,"There is a ""End Construction"" sign that's been there for several years and needs to be taken down.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZiDAAU,8/12/16,6
97833,Graffiti,32.81708665,-117.1756468,8/5/16,"Graffiti Removal at MT AGUILAR DR & MT ALIFAN DR,, 92111",Closed,Mt. Aguilar @ Mt. Alifan. Small block wall fence facing Mt. Aguilar fronting condos. Graffiti: VCX3,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032Zj1AAE,8/11/16,5
97834,Traffic Signal,32.82501681,-117.14886,8/5/16,Traffic Signal Light Out at Mercury St and Engineer Rd,Closed,Southbound Green light on Mercury Street is out.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZkdAAE,8/12/16,6
97835,Graffiti,32.81708576,-117.1753995,8/5/16,"Graffiti Removal at MT AGUILAR DR & MT ABRAHAM AV,, 92111",Assigned,Mt. Aguilar @ Mt. Abraham corner. Redwood fence facing Mt. Aguilar. Graffiti: VCLMX3,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZkiAAE,,25
97837,Traffic Signal,32.82846929,-117.2062189,8/5/16,Traffic Signal Light Out at Clairemont Dr & Clairemont Mesa,Closed,Turn light out going northbound on Clairemont Dr to turn onto Cl Mesa Blvd. Red totally out and green arrow is very dim.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZokAAE,8/6/16,1
97841,Pothole,32.7616332,-117.0639845,8/5/16,"Pothole  at 4637 62nd Street, San Diego, CA, United States",Assigned,Extensive damage to street. Multiple potholes with loose gravel and rock. There is also a large crack on the street.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ZxIAAU,,25
97844,Tree Hazard,33.02309367,-117.0730618,8/5/16,"Tree Hazard  at 11924 Rancho Bernardo Rd, San Diego, SA",Closed,Many of the established olive trees in the median are dying and/or dead. They are in the center median just east of 15 on RB Road. Has the water been cut off purposely or is this an oversight? It is a shame to kill so many otherwise good trees! Please advise.  Jeanen Monteleone Jeanen@yahoo.com 858/485-6607,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032a1yAAA,8/7/16,1
97846,Tree Hazard,32.83265517,-117.2711232,8/5/16,"Tree Hazard  at 901 Nautilus St,  San Diego",Closed,"Hello, the trees and bushes have grown well onto the sidewalks and blocks the ability to pass, particularly with strollers.  The growth is from the area just west of Fay Ave, on the South side of Nautilus.  The growth is from public property.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032a9dAAA,8/12/16,6
97847,Tree Hazard,32.7851301,-117.2519715,8/5/16,"Tree Hazard  at 3810 Bayside Walk, San Diego, CA, United States",Closed,"The tree blocks the view corridor on Salem Ct. and also it drops pine needles and sap on the sidewalk and the beach and it is not attended to.  It is also raising the sidewalk on Salem Ct.  It is my understanding that the view corridor restriction on Salem Ct., requires that no tree or shrub should be over 3 feet tall.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aAWAAY,8/13/16,7
97850,,32.83325905,-117.0854294,8/5/16,,Acknowledged,Sidewalk maintenance - trip hazard,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aByAAI,,25
97851,Pothole,32.8891292,-117.1575596,8/5/16,"Pothole  at 7699 Trade St, San Diego, CA 92121, USA",Closed,Several potholes  across the railways,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aEJAAY,8/12/16,6
97852,Sidewalk,32.7359542,-117.1783405,8/5/16,Sidewalk  at Pacific Highway @ Sassafras St,Closed,Damaged Signal pole base and its a possible hazard for pedestrians,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aETAAY,8/12/16,6
97854,Pothole,32.7616332,-117.0639845,8/5/16,"Pothole  at 4637 62nd Street, San Diego, CA, United States",Closed - Referred,"Repairs were made to the water or sewer pipes in this intersection. The resurfacing work was done in a shoddy manner and the asphalt is crumbling, causing skid hazard for cars and bicycles and trip hazard for pedestrians.Please have the contractor return to resurface the streets properly.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aFWAAY,,25
97859,Pothole,32.72651158,-117.117067,8/5/16,"Pothole at 1985 PETRA DR, 92104",Closed,large pothole in street,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aLeAAI,8/19/16,13
97860,Traffic Signal,32.71678523,-117.1647229,8/5/16,Traffic Signal Light Out at Front St& West C,Closed,Pedestrian head out on south west corner,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aLtAAI,8/12/16,6
97861,Sidewalk,32.968996,-117.160371,8/5/16,"Sidewalk  at 7683 Marker Road, San Diego, CA, United States",Closed,Tree roots have raised the sidewalk causing a hazard,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aMSAAY,8/17/16,11
97862,Storm Drain,32.90119828,-117.1141284,8/5/16,"Storm Drain Clogged Storm Drain at 9801 Willow Creek Rd, San Diego, CA 92131, USA",Closed,There has been standing water for a few days near this location towards the I-15 freeway. Moss have started to grow in this area. I am worried about the potential of this hazard in breeding unnecessary and unwanted problems such as the mosquitoes. This area is right next to businesses and is frequent by people who walk through this area.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aNQAAY,8/16/16,10
97863,Tree Hazard,32.753436,-117.097906,8/5/16,"Tree Hazard  at 4204 45th Street, San Diego, CA, United States",Closed,"Trees along Oreange Avenue and also along 45th Street are overgrown and require trimming/pruning. This is to allow visibility of srtreet signs, prevent damage to vehicles (trucks) striking low hanging branches. Trees have not had any pruning done in many many years.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aNaAAI,8/19/16,13
97864,Sidewalk,32.81966333,-117.2714383,8/5/16,Sidewalk  at 5912 Beaumont Ave,Closed,Broken concrete is dangerous,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aNuAAI,8/17/16,11
97865,Curb,32.545485,-117.042316,8/5/16,"Curb Faded Paint at 4200-4224 Camino De La Plaza San Diego, CA 92173",Closed,Faded red zone painting on curb next to bus stop and near the corner,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aOJAAY,8/12/16,6
97866,Traffic Sign,32.7477923,-117.2089625,8/5/16,"Traffic Sign  at 3276 Rosecrans Street, San Diego, CA, United States",Closed,West bound Rosecrans in front of building - car struck a 'No Parking' sign and levelled it.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aOYAAY,8/12/16,6
97869,Graffiti,32.577902,-117.097113,8/5/16,"Graffiti  at 1000-1028 Thermal Avenue San Diego, CA 92154",Closed,"Graffiti with ""A1"" markings in black on blue residential wood fence.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aTdAAI,8/30/16,24
97870,Graffiti,32.574688,-117.098282,8/5/16,"Graffiti  at 1600 Fern Avenue San Diego, CA 92154",Closed,"Graffiti with white lettering on wood fence near the southwest corner of the fence line. Been there for over two months, maybe longer.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aUMAAY,8/30/16,24
97871,Sidewalk,32.748665,-117.122585,8/5/16,"Sidewalk  at Jacob Dekema Freeway San Diego, CA 92104",Closed,Side walk needs to be fixed tired of getting stuck here everyday in my wheelchair don't see the city of San Diego helping me out with repairs to my wheelchair because I have to go threw areas like this to get around,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aXQAAY,8/23/16,17
97872,Storm Drain,32.75037922,-117.1225807,8/5/16,"Smelly Drain at 33RD ST & LINCOLN AV,, 92104",Closed,DRAIN SMELLS LIKE IT HAS FECES IN IT. MAKING CP SICK,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ad9AAA,8/8/16,2
97873,Pothole,32.8017105,-117.1975078,8/5/16,"Pothole  at 3346 Clairemont Drive, San Diego, CA, United States",Closed,Large pothole in southbound lane in front of 3346 Clairemont Drive.  The entire length of Clmt Dr. from Balboa south to I-5 really needs repaving.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032adOAAQ,8/17/16,11
97874,Pothole,32.8099886,-117.2007305,8/5/16,"Pothole  at 3827 Clairemont Drive, San Diego, CA, United States",Closed,"LARGE pothole, at least 2 inches deep by 12-15"" diameter in front of 3827 Clairemont Drive, going northbound.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aeMAAQ,8/17/16,11
97884,Faded striping,32.76251236,-117.0686981,8/5/16,Faded striping  at 4689 60th St,Closed,Street marking is missing the P on STOP. It says STO,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032at7AAA,8/10/16,4
97888,Sidewalk,32.7270089,-117.1504453,8/5/16,"Sidewalk  at 11547 Rose Garden Ct, San Diego, CA, United States",Assigned,"Side walk badly damaged,causing trouble in walking and running.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032av3AAA,,25
97889,Street Light,32.924895,-117.055633,8/5/16,Street Light Light Out at RoseGardenCt-install SL,Closed,"There is no street light near our house.it's a cul de sac and it's all dark in the night.there are many animals outside seen,so want to request for a street light for safety.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032avDAAQ,8/23/16,17
97890,Street Sweeping,32.8038987,-117.24821,8/5/16,"Street Sweeping  at 1275 Law Street, San Diego, CA, United States",Closed,Palm fronds down from city tree. Please remove them from alley next to garage. Thanks!,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032avNAAQ,8/11/16,5
97891,Street Light,32.727967,-117.253062,8/5/16,"Street Light Light Out at 1070 Novara St, San Diego, CA 92107, United States",Duplicate,"Somebody has painted over the portion of the street light that faces the street, leaving the whole block dark at night.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032avXAAQ,,25
97894,Curb,32.9182896,-117.1837229,8/5/16,"Curb Damage at 11102 Lopez Ridge Way, San Diego, CA, United States",Acknowledged,There are multiple curbs and sidewalks that are all cracking and damaged.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032avwAAA,,25
97895,Damaged Guardrail,32.9177342,-117.1754682,8/5/16,"Damaged Guardrail  at 6798 Lopez Canyon Way, San Diego, CA, United States",Assigned,There are multiple guardrails within this community that are all rusted and need to be treated.  The rust has transferred down onto the concrete curbs below and is an eyesore for the community.  It is also causing concerns that the guardrails are not going to be as effective if a car were to collide into it.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032aw1AAA,,25
97896,Tree Hazard,32.92684087,-117.2091265,8/5/16,Tree Hazard  at 10728 Stallions Ln,Closed,Tree requires trimming above street and sidewalk,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032awBAAQ,8/11/16,5
97900,Sidewalk,32.7573482,-117.1150211,8/5/16,"Sidewalk  at 3602 Meade Avenue, San Diego, CA, United States",Assigned,"Horrible sidewalk in front of this business. Raised, lowered and shattered throughout the entire walkway. Especially given that they are open late, should really do the right thing and get the sidewalk repaired.  The people of this community spend a lot of money at this business.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032axdAAA,,25
97903,Traffic Signal,32.568342,-117.014141,8/5/16,"Traffic Signal All Lights Out at Otay Mesa Road San Diego, CA 92154",Assigned,Turning signal won't change. Sat with traffic for 4 round and signal never changed. Turning from ocean view hills onto otay Mesa rd.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ay2AAA,,25
97904,Sidewalk,32.70537,-117.149508,8/5/16,"Sidewalk  at 1598 Commercial Street San Diego, CA 92113",Assigned,On sidewalk of St. Vincent De Paul Village,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ayCAAQ,,25
97905,Sidewalk,33.005993,-117.072144,8/5/16,"Sidewalk  at 15989-16019 Bernardo Heights Parkway San Diego, CA 92128",Closed,Lifted sidewalk is a trip hazard.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ayMAAQ,8/17/16,11
97906,Graffiti,32.79352694,-117.2420712,8/5/16,Graffiti  at 1401?1461 Pacific Beach Dr,Closed,Graffiti on vinyl fence,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032ayRAAQ,8/30/16,24
97913,Traffic Signal,32.77163966,-117.0699678,8/5/16,"Signals on Flash at COLLEGE AV & LINDO PASEO,, 92115",Assigned,ON RED FLASH,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032b1kAAA,,25
97914,Tree Hazard,32.857492,-117.207535,8/5/16,"Tree Hazard  at 6804 Fisk Avenue, San Diego, CA, United States",Closed,branches are too low and maintenance is required to ensure a safer clearance for vehicles,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032b2dAAA,8/11/16,5
97915,Traffic Sign,32.7572571,-117.0540131,8/5/16,"Traffic Sign  at 6634 Malcolm Dr, San Diego, CA 92115, USA",Closed,Stop sign FWBT  on Vigo Dr. at Alamo Dr. badly faded/worn and needs replacement.  Location is in City limits,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032b2sAAA,8/12/16,6
97917,Sidewalk,32.7515138,-117.0967396,8/5/16,"Sidewalk  at 4542 Polk Avenue, San Diego, CA, United States",Closed - Referred,concrete water meter cover is broken.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032b37AAA,,25
97918,Pothole,32.8773221,-117.1852697,8/5/16,"Pothole  at 5760 Miramar Road, San Diego, CA, United States",Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032b3CAAQ,,25
97919,Pothole,32.8883144,-117.1455437,8/5/16,"Pothole  at 9100 Dowdy Drive, San Diego, CA, United States",Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032b3HAAQ,8/12/16,6
97920,Pothole,32.8883944,-117.1460008,8/5/16,"Pothole  at 8040 Miramar Road, San Diego, CA, United States",Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000032b3MAAQ,8/12/16,6
